1,T,"A social media post is saying a Newberg student has coronavirus. This is UNTRUE. At this time, no Newberg staff or student has the disease. SCHOOLS WILL BE OPEN ON MONDAY. We encourage any student or staff who is ill to remain home to slow the spread of any flu or virus",
2,U,White House bans recent foreign travelers to China and will quarantine US citizens who were near coronavirus epicenter, 
3,T,"Cruises Sail On, In Spite of Coronavirus #cruise #cruising #cruisechat #cruiselife ", 
4,U,"Japan’s Economy, Already Wobbly, Faces Big Blow From Coronavirus https://t.co/dsKzlIp9rt", 
5,F,Saline water kills the new coronavirus, 
6,F,"U.S. health officials offered a reality check Tuesday about the scary new virus from China: They’re expanding screenings of international travelers and taking other precautions but for now, they insist the risk to Americans is very low", 
7,F,"9 dead, over 440 infected! This is serious""The spread of the respiratory virus to Thailand,Japan, S.Korea, Taiwan,& now the US-fueling fears of a broader epidemic,as China enters its busiest travel period of the year""! Can be spread by humans", 
8,F,Last year a mysterious shipment was caught smuggling Coronavirus from Canada. It was traced to Chinese agents working at a Canadian lab. Subsequent investigation by GreatGameIndia linked the agents to Chinese Biological Warfare Program from where the virus is suspected to have leaked causing the Wuhan Coronavirus outbreak, 
9,T,"Sri Lanka Offers Friendship, But Firm On China &amp; Tamils My Wednesday Column  ", 
10,T,"The US Centers for Disease Control and Prevention is expected to announce this afternoon that the first case of Wuhan coronavirus has been reported in the United States, in Washington state", 
