品牌索引,品牌名称,车系名称,车型,汽车型号,气缸数,气缸排列形式,气门数,变速箱,排量,环保标准,上市时间,能源类型,燃油标号,整车质保,座位数（个）,后悬架类型,驻车制动类型,时间
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:12:57.237390
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.0T 280HP Black Package黑标限量版,4,L,4,8挡手自一体,2.0,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:12:57.510220
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP NRING纽博格林限量版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-26 13:12:57.795043
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP F1限量版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-26 13:12:58.117847
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国V,国V,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-26 13:12:58.332270
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:12:58.691045
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 200HP 精英版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:12:58.913907
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 200HP 豪华版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:12:59.181753
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2017款 2.0T 280HP 豪华运动版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:12:59.400616
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 280HP 豪华运动版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:12:59.589502
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 200HP 精英版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:12:59.877332
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2019款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,4,多连杆式独立悬架,电子驻车,2019-09-26 13:13:00.060218
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 200HP 豪华版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:13:00.257026
A,阿尔法·罗密欧,阿尔法·罗密欧,Giulia,2018款 2.0T 280HP 豪华版 碳纤维限量版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:13:00.511872
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2018款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:13:01.051211
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP NRING纽博格林限量版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:13:01.277812
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP 四叶草版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:13:01.479689
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 200HP 豪华版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:13:01.685129
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:13:01.904992
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2017款 2.0T 200HP 精英版,4,L,4,8挡手自一体,2.0,国V,国V,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:13:02.113114
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.0T 280HP Black Package黑标限量版,4,L,4,8挡手自一体,2.0,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:13:02.298996
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.0T 280HP 豪华版,4,L,4,8挡手自一体,2.0,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:13:02.510866
A,阿尔法·罗密欧,阿尔法·罗密欧,Stelvio,2019款 2.9T 510HP F1限量版,4,V,4,8挡手自一体,2.9,国VI,国VI,汽油,92号,三年不限公里,5,多连杆式独立悬架,电子驻车,2019-09-26 13:13:02.712741
A,阿斯顿·马丁,阿斯顿·马丁,Rapide,2017款 6.0L S,4,V,4,8挡手自一体,6.0,欧V,欧V,汽油,95号,三年不限公里,4,螺旋弹簧双叉臂独立悬架,电子驻车,2019-09-26 13:13:03.445791
A,阿斯顿·马丁,阿斯顿·马丁,V8 Vantage,2018款 4.0T V8,4,V,4,8挡手自一体,4.0,欧V,欧V,汽油,95号,三年不限公里,2,多连杆螺旋弹簧独立式,电子驻车,2019-09-26 13:13:04.429786
A,阿斯顿·马丁,阿斯顿·马丁,V8 Vantage,2019款 4.0T V8 珊瑚橘,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-26 13:13:04.643656
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 4.0T V8 Coupe,4,V,4,8挡手自一体,4.0,国V,国V,汽油,95号,三年不限公里,4,多连杆螺旋弹簧独立式,电子驻车,2019-09-26 13:13:05.395141
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 AMR 荣耀限量版,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-26 13:13:05.613007
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 NC500 限量版,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-26 13:13:05.793894
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 4.0T V8 Volante 云水蓝,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-26 13:13:06.840843
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 5.2T V12 Coupe,4,V,4,8挡手自一体,5.2,欧V,欧V,汽油,95号,三年不限公里,4,多连杆螺旋弹簧独立式,电子驻车,2019-09-26 13:13:07.092689
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 4.0T V8 Volante,4,V,4,8挡手自一体,4.0,国V,国V,汽油,95号,三年不限公里,4,多连杆螺旋弹簧独立式,电子驻车,2019-09-26 13:13:07.297226
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DB11,2019款 AMR,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,2019-09-26 13:13:07.513094
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DBS,2019款 DBS Superleggera,4,V,4,8挡手自一体,5.2,欧VI,欧VI,汽油,95号,待查,4,多连杆式独立悬架,电子驻车,2019-09-26 13:13:08.234653
A,阿斯顿·马丁,阿斯顿·马丁,阿斯顿·马丁DBS,2019款 DBS Superleggera Volante,4,V,4,8挡手自一体,5.2,欧VI,欧VI,汽油,95号,待查,4,多连杆式独立悬架,电子驻车,2019-09-26 13:13:08.425541
