关键词,抖音号,昵称,个性签名,性别,年龄,粉丝,关注,赞,个人主页,写入时间
公司,92879348,上海益韵茶叶有限公司,分享好茶叶健康好生活，分享快乐健康生活加V13641958417,女,31,372828,4629,220653,https://www.douyin.com/share/user/67771202587,2019-10-14 15:28:34
公司,1998125204,广州钻爷服饰有限公司,感恩！感谢！所有支持我的家人朋友！  凡事不经过主页联系方式购买的产品！  钻爺概不负责！谢谢理解！,女,30,1271163,24,20787072,https://www.douyin.com/share/user/108830418900,2019-10-14 15:28:34
公司,1805151301,湖北醉丫食品有限公司,有口福，更快乐！,女,37,1385536,4849,13113091,https://www.douyin.com/share/user/108364920505,2019-10-14 15:28:34
公司,605193104,追星无限公司,一个瞎追星的剪刀手🉑  是❗️个❗️人❗️  合集/动态壁纸/混剪☑️  vb：追星无限公司 来玩！  追星卡❗️滴‼️,女,21,1356989,52,16562899,https://www.douyin.com/share/user/79900088007,2019-10-14 15:28:34
公司,178307388,上海丞宇服饰有限公司,丞宇高端女装批发官方账号,女,38,223016,3152,1365720,https://www.douyin.com/share/user/73735062972,2019-10-14 15:28:34
公司,19505689,义乌昕夏贸易有限公司,厂长小夏吖,女,33,70212,144,3,https://www.douyin.com/share/user/59590735154,2019-10-14 15:28:34
公司,1890796337,凯琪商贸公司,本宝宝暂时还没想到个性签名,女,26,187782,2,1761665,https://www.douyin.com/share/user/109175435257,2019-10-14 15:28:34
公司,1212887776,芙蕾恩公司,柠檬阅读，看原著比电影更精彩！,女,29,462358,124,3149450,https://www.douyin.com/share/user/102220597088,2019-10-14 15:28:34
公司,115386330,韩宝贝贸易公司,兰研品牌股东——黄春凤  兰研品牌千人团队创始人  我是你们的Q姐😊,女,34,163006,557,1079794,https://www.douyin.com/share/user/74488134554,2019-10-14 15:28:34
公司,139765540,火星怪物公司,小心！火星怪物来了！与火星取得联系请私信,男,6,501701,416,5688600,https://www.douyin.com/share/user/60238750246,2019-10-14 15:28:34
公司,591878082,九一二公司,孕小二：备孕怀孕，不二选择,女,36,247784,14,2566228,https://www.douyin.com/share/user/95348751173,2019-10-14 15:28:38
公司,1228883622,广西亿华公司,很高兴认识你！谢谢你的关注！,女,33,54786,2117,13107,https://www.douyin.com/share/user/97357576348,2019-10-14 15:28:38
公司,51817997,@GL公司,,男,42,20500,116,4864,https://www.douyin.com/share/user/59545366880,2019-10-14 15:28:38
公司,1565220074,和协公司,中国商标代理十强、IPR最具影响力机构,男,35,79838,1,2134147,https://www.douyin.com/share/user/104938553234,2019-10-14 15:28:38
公司,2801004285,航海公司总店,想吃牛肉干点头像右角图标发消息，必回！🙏,男,33,46503,219,749912,https://www.douyin.com/share/user/2106276223661355,2019-10-14 15:28:38
公司,1670026382,瑞华商贸有限公司,易冧（yi lin）  关注小哥不迷路～  带你领略国潮风～  带你做精致男孩～,女,20,224098,2,788932,https://www.douyin.com/share/user/100733102051,2019-10-14 15:28:38
公司,1114362441,4B公司,不是4A，是4B啊！,男,25,42654,7,854688,https://www.douyin.com/share/user/101006167009,2019-10-14 15:28:38
公司,1718368214,友悦兴州贸易公司,潮物&美酒 好物推荐  新锐珠宝设计师 ⚜️✍🏼💍  私信留言 ⬇️❤️合作打电话,男,18,5827,2309,16195,https://www.douyin.com/share/user/106406677433,2019-10-14 15:28:38
公司,110948863,珉羌骛服装公司,生活很累，生活很苦，但是我们要努力，加油,男,24,197101,28,442821,https://www.douyin.com/share/user/63133119110,2019-10-14 15:28:38
公司,1269311991,钢铁公司,,未知,,8919,43,6268,https://www.douyin.com/share/user/102962856860,2019-10-14 15:28:38
公司,332713015,大月文化公司,感谢抖音官方建立这么好的平台  感谢关注我的粉丝们,女,33,165317,33,330015,https://www.douyin.com/share/user/68451827880,2019-10-14 15:28:41
公司,285322655,攀建公司,唯一关注，乔言是我的小号。,男,30,70047,1,15397,https://www.douyin.com/share/user/90102034816,2019-10-14 15:28:41
公司,2221383474,百缘公司,,女,16,109095,54,488218,https://www.douyin.com/share/user/91827088805,2019-10-14 15:28:41
公司,1254398096,明锦装潢公司,曾经的辉煌,未知,49,17216,5001,173580,https://www.douyin.com/share/user/68659642734,2019-10-14 15:28:41
公司,2235959613,丰旺农业公司,爱兔！爱人生……！！！,女,29,91826,23,480807,https://www.douyin.com/share/user/1710474085278691,2019-10-14 15:28:41
公司,150462187,一家公司,V   a308221094,男,25,17136,230,1647365,https://www.douyin.com/share/user/61809358150,2019-10-14 15:28:41
公司,136294553,注册公司王姐！,注册上海各类公司  财务记账  感谢大家关注,女,,148917,641,445486,https://www.douyin.com/share/user/12646661658,2019-10-14 15:28:41
公司,349951152,物流公司,不必仰望别人，自己亦是风景。,女,2,8960,4999,129150,https://www.douyin.com/share/user/62131702941,2019-10-14 15:28:41
公司,1296528916,美少年安利公司,v：ZMT19000  谢谢关注，感谢平台！  vb：校草收纳箱,男,19,771699,38,8105599,https://www.douyin.com/share/user/95205076079,2019-10-14 15:28:41
公司,1665966155,昊铭远商贸公司,我为家乡特产代言！,男,31,111245,47,758545,https://www.douyin.com/share/user/62124851674,2019-10-14 15:28:41
公司,876428771,巨美广告公司,骏马面前无沟壑，怂人面前全是坎,男,44,51829,4614,247945,https://www.douyin.com/share/user/97703501280,2019-10-14 15:28:45
公司,1221142911,中介公司总经理,我是一个有故事的人！有谁能懂我？,女,51,159899,3306,1481020,https://www.douyin.com/share/user/92815894818,2019-10-14 15:28:45
公司,853666603,北京模特公司 萧萧麻豆,承接.礼仪 模特 外模 演员 主持 节目等.全国活动供应商.工作☎️13051234505,男,,384915,4999,1739073,https://www.douyin.com/share/user/97275038338,2019-10-14 15:28:45
公司,1469182803,物流公司,杨全,男,41,12793,4378,125569,https://www.douyin.com/share/user/63418396379,2019-10-14 15:28:45
公司,1846152518,蓝润公司,没有人会一直顺利，总有一天！会笑着回忆那些曾经让你哭的瞬间！,男,37,24785,329,21009,https://www.douyin.com/share/user/95649788819,2019-10-14 15:28:45
公司,692266246,炫味餐饮公司,不要求最好，只要求做的更好！,男,31,65726,744,254536,https://www.douyin.com/share/user/96382737505,2019-10-14 15:28:45
公司,772994807,泰合保险销售有限公司广东分公司,做专业接地气的科普。  点击私信发消息，任何保险问题必回！,男,34,68715,0,198544,https://www.douyin.com/share/user/96691550949,2019-10-14 15:28:45
公司,8384830,菲丽欧珠宝有限公司,我们不生产翡翠，我们只是大自然的搬运工,女,26,50025,38,136639,https://www.douyin.com/share/user/59059718280,2019-10-14 15:28:45
公司,2802013041,山东美佳集团有限公司,山东美佳集团有限公司是以加工出口海产品、蔬菜产品为主的综合性企业，是农业产业化国家重点龙头企业。自1973年建厂以来，已走过40余年。公司始终坚持质量立企，科技兴企，秉承同线、同标、同质的“三同”生产标准，不断为消费提供安全、安心、放心、舒心的产品。,未知,,10562,11,6005,https://www.douyin.com/share/user/3003482323033035,2019-10-14 15:28:45
公司,386860141,昌峰公司,放下过去，从新开始！活成自己想要的样子！,女,,2783,86,17276,https://www.douyin.com/share/user/66384136839,2019-10-14 15:28:45
公司,1283327984,舞翎艺术培训有限公司,成人零基础舞蹈教学 全国最流行舞蹈 包教会                                           包分配工作 点击👇黄色 官方电话,男,24,244819,8,1375813,https://www.douyin.com/share/user/98792412795,2019-10-14 15:28:48
公司,2200715078,头道汤科技有限公司,讲我们所做！做我们所讲！  来赢利智慧场探寻头道汤成功的秘密,男,47,253401,84,824416,https://www.douyin.com/share/user/215124786308035,2019-10-14 15:28:48
公司,81329962,居乐公司,王生,男,46,10453,316,139223,https://www.douyin.com/share/user/70383771652,2019-10-14 15:28:48
公司,962724203,舟达二手车公司,好资源一起分享,男,33,43782,127,60135,https://www.douyin.com/share/user/98845944456,2019-10-14 15:28:48
公司,1681604829,恩科有限公司,每天分享更多的护肤手法、步骤、小技巧✌️让你越变越精致,女,35,171126,203,437296,https://www.douyin.com/share/user/105742067174,2019-10-14 15:28:48
公司,1980238263,淘利园网络公司,萌宠分享👄  谢谢大家的关注😘  合作看唯一关注！,女,,160866,1,1234947,https://www.douyin.com/share/user/110436147043,2019-10-14 15:28:48
公司,1108539919,澎博公司,相信自己一切都有可能,男,,10318,108,293,https://www.douyin.com/share/user/99014778086,2019-10-14 15:28:48
公司,1273484975,泽鑫摩托车公司,喜欢机车的朋友看联系方式！谢谢关注,女,25,79001,43,116843,https://www.douyin.com/share/user/102994468602,2019-10-14 15:28:48
公司,1347575039,淇园卫浴有限公司,专业生产陶瓷洁具，浴室柜，智能马桶，智能浴室镜等！提供工程卫浴，出口洁具！,男,0,134469,17,214960,https://www.douyin.com/share/user/103569450189,2019-10-14 15:28:48
公司,92560655,健悦公司,记录美好生活,男,45,15519,143,120782,https://www.douyin.com/share/user/65224782828,2019-10-14 15:28:48
